line_count,char_count,parse_crashed,parse_completeness,has_error_nodes,error_node_count,missing_node_count,unstable_span_count,class_declaration_count,method_declaration_count,local_variable_declaration_count,return_statement_count,while_statement_count,assignment_expression_count,binary_expression_count,max_ast_depth,ast_node_count,for_statement_count,loop_condition_contains_lt,loop_condition_contains_leq,loop_condition_contains_gt,loop_condition_contains_geq,loop_condition_contains_length,loop_condition_off_by_one_pattern_count,for_node_with_array_access_count,max_for_loop_body_size,if_statement_count,assignment_inside_if_condition_count,equality_in_if_condition_count,boolean_literal_in_if_condition_count,logical_operator_in_if_condition_count,array_access_count,array_index_uses_length_directly_count,array_index_uses_length_expression_count,unique_arrays_accessed_count,target,snippet_id,primary_label
9,224,0,1.0,0,0,0,0,1,1,1,0,0,1,1,11,90,1,1,0,0,0,1,0,1,17,0,0,0,0,0,3,0,0,2,0,off_by_one_fix_014,NO_ISSUE
9,225,0,1.0,0,0,0,0,1,1,1,0,0,1,1,11,88,1,1,1,0,0,1,1,1,20,0,0,0,0,0,1,0,0,1,0,off_by_one_bug_015,OFF_BY_ONE_LOOP_BOUNDARY
9,224,0,1.0,0,0,0,0,1,1,1,0,0,1,1,11,88,1,1,0,0,0,1,0,1,20,0,0,0,0,0,1,0,0,1,0,off_by_one_fix_015,NO_ISSUE
12,286,0,1.0,0,0,0,0,1,1,2,1,0,1,2,11,110,1,1,1,0,0,1,1,1,26,1,0,0,0,0,3,0,0,1,0,off_by_one_bug_016,OFF_BY_ONE_LOOP_BOUNDARY
12,285,0,1.0,0,0,0,0,1,1,2,1,0,1,2,11,110,1,1,0,0,0,1,0,1,26,1,0,0,0,0,3,0,0,1,0,off_by_one_fix_016,NO_ISSUE
9,219,0,1.0,0,0,0,0,1,1,1,0,0,1,2,11,87,1,1,1,0,0,1,1,1,20,0,0,0,0,0,2,0,0,1,0,off_by_one_bug_017,OFF_BY_ONE_LOOP_BOUNDARY
9,218,0,1.0,0,0,0,0,1,1,1,0,0,1,2,11,87,1,1,0,0,0,1,0,1,20,0,0,0,0,0,2,0,0,1,0,off_by_one_fix_017,NO_ISSUE
11,282,0,1.0,0,0,0,0,1,1,1,2,0,0,2,11,96,1,1,1,0,0,1,1,1,20,1,0,1,0,0,1,0,0,1,0,off_by_one_bug_018,OFF_BY_ONE_LOOP_BOUNDARY
11,281,0,1.0,0,0,0,0,1,1,1,2,0,0,2,11,96,1,1,0,0,0,1,0,1,20,1,0,1,0,0,1,0,0,1,0,off_by_one_fix_018,NO_ISSUE
12,287,0,1.0,0,0,0,0,1,1,2,1,0,0,2,11,101,1,1,1,0,0,1,1,1,21,1,0,0,0,0,1,0,0,1,0,off_by_one_bug_019,OFF_BY_ONE_LOOP_BOUNDARY
12,286,0,1.0,0,0,0,0,1,1,2,1,0,0,2,11,101,1,1,0,0,0,1,0,1,21,1,0,0,0,0,1,0,0,1,0,off_by_one_fix_019,NO_ISSUE
9,206,0,1.0,0,0,0,0,1,1,1,0,0,1,1,10,80,1,1,1,0,0,1,1,1,13,0,0,0,0,0,1,0,0,1,0,off_by_one_bug_020,OFF_BY_ONE_LOOP_BOUNDARY
9,205,0,1.0,0,0,0,0,1,1,1,0,0,1,1,10,80,1,1,0,0,0,1,0,1,13,0,0,0,0,0,1,0,0,1,0,off_by_one_fix_020,NO_ISSUE
11,269,0,1.0,0,0,0,0,1,1,2,1,0,1,1,10,93,1,1,1,0,0,1,1,1,13,0,0,0,0,0,1,0,0,1,0,off_by_one_bug_021,OFF_BY_ONE_LOOP_BOUNDARY
11,268,0,1.0,0,0,0,0,1,1,2,1,0,1,1,10,93,1,1,0,0,0,1,0,1,13,0,0,0,0,0,1,0,0,1,0,off_by_one_fix_021,NO_ISSUE
11,324,0,1.0,0,0,0,0,1,1,2,1,0,0,1,12,121,1,1,1,0,0,1,1,1,27,0,0,0,0,0,1,0,0,1,0,off_by_one_bug_022,OFF_BY_ONE_LOOP_BOUNDARY
11,323,0,1.0,0,0,0,0,1,1,2,1,0,0,1,12,121,1,1,0,0,0,1,0,1,27,0,0,0,0,0,1,0,0,1,0,off_by_one_fix_022,NO_ISSUE
11,292,0,1.0,0,0,0,0,1,1,2,1,0,1,3,11,121,1,1,1,0,0,1,1,1,20,0,0,0,0,0,2,0,0,2,0,off_by_one_bug_023,OFF_BY_ONE_LOOP_BOUNDARY
11,291,0,1.0,0,0,0,0,1,1,2,1,0,1,3,11,121,1,1,0,0,0,1,0,1,20,0,0,0,0,0,2,0,0,2,0,off_by_one_fix_023,NO_ISSUE
11,279,0,1.0,0,0,0,0,1,1,2,1,0,1,2,10,99,1,1,1,0,0,1,1,1,13,0,0,0,0,0,1,0,0,1,0,off_by_one_bug_024,OFF_BY_ONE_LOOP_BOUNDARY
11,278,0,1.0,0,0,0,0,1,1,2,1,0,1,2,10,99,1,1,0,0,0,1,0,1,13,0,0,0,0,0,1,0,0,1,0,off_by_one_fix_024,NO_ISSUE
9,226,0,1.0,0,0,0,0,1,1,1,0,0,1,1,11,88,1,1,1,0,0,1,1,1,20,0,0,0,0,0,1,0,0,1,0,off_by_one_bug_025,OFF_BY_ONE_LOOP_BOUNDARY
9,225,0,1.0,0,0,0,0,1,1,1,0,0,1,1,11,88,1,1,0,0,0,1,0,1,20,0,0,0,0,0,1,0,0,1,0,off_by_one_fix_025,NO_ISSUE
11,278,0,1.0,0,0,0,0,1,1,2,1,0,1,1,10,115,1,1,1,0,0,1,1,1,17,0,0,0,0,0,2,0,0,2,0,off_by_one_bug_026,OFF_BY_ONE_LOOP_BOUNDARY
11,277,0,1.0,0,0,0,0,1,1,2,1,0,1,1,10,115,1,1,0,0,0,1,0,1,17,0,0,0,0,0,2,0,0,2,0,off_by_one_fix_026,NO_ISSUE
9,213,0,1.0,0,0,0,0,1,1,1,0,0,1,1,11,86,1,1,1,0,0,1,1,1,19,0,0,0,0,0,2,0,0,1,0,off_by_one_bug_027,OFF_BY_ONE_LOOP_BOUNDARY
9,212,0,1.0,0,0,0,0,1,1,1,0,0,1,1,11,86,1,1,0,0,0,1,0,1,19,0,0,0,0,0,2,0,0,1,0,off_by_one_fix_027,NO_ISSUE
12,285,0,1.0,0,0,0,0,1,1,2,1,0,0,3,12,104,1,1,1,0,0,1,1,1,24,1,0,1,0,0,1,0,0,1,0,off_by_one_bug_028,OFF_BY_ONE_LOOP_BOUNDARY
12,284,0,1.0,0,0,0,0,1,1,2,1,0,0,3,12,104,1,1,0,0,0,1,0,1,24,1,0,1,0,0,1,0,0,1,0,off_by_one_fix_028,NO_ISSUE
9,208,0,1.0,0,0,0,0,1,1,1,0,0,0,1,10,79,1,1,1,0,0,1,1,1,12,0,0,0,0,0,1,0,0,1,0,off_by_one_bug_029,OFF_BY_ONE_LOOP_BOUNDARY
9,207,0,1.0,0,0,0,0,1,1,1,0,0,0,1,10,79,1,1,0,0,0,1,0,1,12,0,0,0,0,0,1,0,0,1,0,off_by_one_fix_029,NO_ISSUE
12,295,0,1.0,0,0,0,0,1,1,2,1,0,1,2,11,109,1,1,1,0,0,1,1,1,22,1,0,1,0,0,1,0,0,1,0,off_by_one_bug_030,OFF_BY_ONE_LOOP_BOUNDARY
12,294,0,1.0,0,0,0,0,1,1,2,1,0,1,2,11,109,1,1,0,0,0,1,0,1,22,1,0,1,0,0,1,0,0,1,0,off_by_one_fix_030,NO_ISSUE
12,333,0,1.0,0,0,0,0,1,1,2,0,0,1,0,11,99,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_001,INCORRECT_CONDITIONAL_OPERATOR
13,350,0,1.0,0,0,0,0,1,1,2,0,0,1,0,11,102,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_001,NO_ISSUE
11,276,0,1.0,0,0,0,0,1,1,1,0,0,1,0,11,79,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,incorrect_cond_bug_002,INCORRECT_CONDITIONAL_OPERATOR
11,277,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,79,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,incorrect_cond_fix_002,NO_ISSUE
12,305,0,1.0,0,0,0,0,1,1,2,0,0,1,1,11,90,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_003,INCORRECT_CONDITIONAL_OPERATOR
13,321,0,1.0,0,0,0,0,1,1,2,0,0,1,1,11,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_003,NO_ISSUE
12,306,0,1.0,0,0,0,0,1,1,2,0,0,1,1,11,90,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_004,INCORRECT_CONDITIONAL_OPERATOR
13,321,0,1.0,0,0,0,0,1,1,2,0,0,1,1,11,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_004,NO_ISSUE
12,330,0,1.0,0,0,0,0,1,1,2,0,0,1,0,11,99,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_005,INCORRECT_CONDITIONAL_OPERATOR
13,350,0,1.0,0,0,0,0,1,1,2,0,0,1,0,11,102,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_005,NO_ISSUE
12,311,0,1.0,0,0,0,0,1,1,2,0,0,1,2,11,96,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,incorrect_cond_bug_006,INCORRECT_CONDITIONAL_OPERATOR
13,328,0,1.0,0,0,0,0,1,1,2,0,0,1,2,11,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_006,NO_ISSUE
12,301,0,1.0,0,0,0,0,1,1,2,0,0,1,1,11,90,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_007,INCORRECT_CONDITIONAL_OPERATOR
13,315,0,1.0,0,0,0,0,1,1,2,0,0,1,1,11,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_007,NO_ISSUE
12,327,0,1.0,0,0,0,0,1,1,2,0,0,1,0,11,99,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_008,INCORRECT_CONDITIONAL_OPERATOR
13,344,0,1.0,0,0,0,0,1,1,2,0,0,1,0,11,102,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_008,NO_ISSUE
12,313,0,1.0,0,0,0,0,1,1,2,0,0,1,1,11,90,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,incorrect_cond_bug_009,INCORRECT_CONDITIONAL_OPERATOR
13,327,0,1.0,0,0,0,0,1,1,2,0,0,1,1,11,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_009,NO_ISSUE
13,312,0,1.0,0,0,0,0,1,1,3,0,0,1,1,11,98,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,incorrect_cond_bug_010,INCORRECT_CONDITIONAL_OPERATOR
14,326,0,1.0,0,0,0,0,1,1,3,0,0,1,1,11,101,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_010,NO_ISSUE
11,314,0,1.0,0,0,0,0,1,1,1,0,1,1,1,11,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,incorrect_cond_bug_011,INCORRECT_CONDITIONAL_OPERATOR
12,341,0,1.0,0,0,0,0,1,1,1,0,1,1,2,11,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_011,NO_ISSUE
9,234,0,1.0,0,0,0,0,1,1,0,0,0,1,0,11,68,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_012,INCORRECT_CONDITIONAL_OPERATOR
9,235,0,1.0,0,0,0,0,1,1,0,0,0,0,1,11,68,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,incorrect_cond_fix_012,NO_ISSUE
9,246,0,1.0,0,0,0,0,1,1,0,0,0,1,0,11,67,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_013,INCORRECT_CONDITIONAL_OPERATOR
9,247,0,1.0,0,0,0,0,1,1,0,0,0,0,1,11,67,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,incorrect_cond_fix_013,NO_ISSUE
10,310,0,1.0,0,0,0,0,1,1,1,0,0,1,2,11,88,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,incorrect_cond_bug_014,INCORRECT_CONDITIONAL_OPERATOR
10,300,0,1.0,0,0,0,0,1,1,1,0,0,0,2,11,82,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,incorrect_cond_fix_014,NO_ISSUE
8,243,0,1.0,0,0,0,0,1,1,1,1,0,1,1,10,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,incorrect_cond_bug_015,INCORRECT_CONDITIONAL_OPERATOR
8,233,0,1.0,0,0,0,0,1,1,1,1,0,0,1,8,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_015,NO_ISSUE
10,288,0,1.0,0,0,0,0,1,1,1,0,0,1,1,11,78,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_016,INCORRECT_CONDITIONAL_OPERATOR
10,280,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_016,NO_ISSUE
10,302,0,1.0,0,0,0,0,1,1,1,0,0,1,1,11,78,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_017,INCORRECT_CONDITIONAL_OPERATOR
10,294,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_017,NO_ISSUE
10,308,0,1.0,0,0,0,0,1,1,1,0,0,1,0,11,84,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_018,INCORRECT_CONDITIONAL_OPERATOR
10,300,0,1.0,0,0,0,0,1,1,1,0,0,0,0,11,81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_018,NO_ISSUE
10,305,0,1.0,0,0,0,0,1,1,1,0,0,1,1,11,83,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_019,INCORRECT_CONDITIONAL_OPERATOR
10,297,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_019,NO_ISSUE
10,296,0,1.0,0,0,0,0,1,1,1,0,0,1,1,11,78,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_020,INCORRECT_CONDITIONAL_OPERATOR
10,288,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_020,NO_ISSUE
10,294,0,1.0,0,0,0,0,1,1,1,0,0,1,2,11,81,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,incorrect_cond_bug_021,INCORRECT_CONDITIONAL_OPERATOR
10,286,0,1.0,0,0,0,0,1,1,1,0,0,0,2,11,78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_021,NO_ISSUE
10,304,0,1.0,0,0,0,0,1,1,1,0,0,1,1,11,83,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_022,INCORRECT_CONDITIONAL_OPERATOR
10,296,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_022,NO_ISSUE
13,357,0,1.0,0,0,0,0,1,1,2,0,0,1,3,13,107,1,1,0,0,0,0,0,0,40,1,1,1,0,0,0,0,0,0,0,incorrect_cond_bug_023,INCORRECT_CONDITIONAL_OPERATOR
14,379,0,1.0,0,0,0,0,1,1,2,0,0,1,3,13,110,1,1,0,0,0,0,0,0,43,1,0,1,0,0,0,0,0,0,0,incorrect_cond_fix_023,NO_ISSUE
10,300,0,1.0,0,0,0,0,1,1,1,0,0,1,0,11,87,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,incorrect_cond_bug_024,INCORRECT_CONDITIONAL_OPERATOR
10,292,0,1.0,0,0,0,0,1,1,1,0,0,0,0,11,84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,incorrect_cond_fix_024,NO_ISSUE
10,298,0,1.0,0,0,0,0,1,1,1,0,0,1,1,11,78,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_025,INCORRECT_CONDITIONAL_OPERATOR
10,290,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_025,NO_ISSUE
10,314,0,1.0,0,0,0,0,1,1,1,0,0,1,1,11,83,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_026,INCORRECT_CONDITIONAL_OPERATOR
10,306,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_026,NO_ISSUE
10,304,0,1.0,0,0,0,0,1,1,1,0,0,1,0,11,84,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_027,INCORRECT_CONDITIONAL_OPERATOR
10,296,0,1.0,0,0,0,0,1,1,1,0,0,0,0,11,81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_027,NO_ISSUE
10,292,0,1.0,0,0,0,0,1,1,1,0,0,1,3,12,92,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,incorrect_cond_bug_028,INCORRECT_CONDITIONAL_OPERATOR
10,284,0,1.0,0,0,0,0,1,1,1,0,0,0,3,11,89,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_028,NO_ISSUE
10,291,0,1.0,0,0,0,0,1,1,1,0,0,1,1,11,78,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_029,INCORRECT_CONDITIONAL_OPERATOR
10,283,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_029,NO_ISSUE
10,306,0,1.0,0,0,0,0,1,1,1,0,0,1,0,11,85,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,incorrect_cond_bug_030,INCORRECT_CONDITIONAL_OPERATOR
10,298,0,1.0,0,0,0,0,1,1,1,0,0,0,0,11,82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,incorrect_cond_fix_030,NO_ISSUE
8,164,0,1.0,0,0,0,0,1,1,1,0,0,0,0,10,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,array_index_bug_001,ARRAY_LENGTH_INDEX_MISUSE
9,231,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,array_index_fix_001,NO_ISSUE
8,179,0,1.0,0,0,0,0,1,1,1,0,0,0,0,10,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,array_index_bug_002,ARRAY_LENGTH_INDEX_MISUSE
9,245,0,1.0,0,0,0,0,1,1,1,0,0,0,1,11,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,array_index_fix_002,NO_ISSUE
9,204,0,1.0,0,0,0,0,1,1,2,0,0,0,0,9,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,array_index_bug_003,ARRAY_LENGTH_INDEX_MISUSE
10,270,0,1.0,0,0,0,0,1,1,2,0,0,0,1,9,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,array_index_fix_003,NO_ISSUE
9,214,0,1.0,0,0,0,0,1,1,2,0,0,0,0,9,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,array_index_bug_004,ARRAY_LENGTH_INDEX_MISUSE
10,280,0,1.0,0,0,0,0,1,1,2,0,0,0,1,10,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,array_index_fix_004,NO_ISSUE
9,207,0,1.0,0,0,0,0,1,1,2,0,0,0,0,9,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,array_index_bug_005,ARRAY_LENGTH_INDEX_MISUSE
10,274,0,1.0,0,0,0,0,1,1,2,0,0,0,1,9,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,array_index_fix_005,NO_ISSUE
